,Lyrics
0,"['ah', 'skru', 'op', 'lortet', 'mayn', 'yeah', 'vi', 'ind', 'huset', 'yeah', 'aarhus', 'v', 'la', 'butterbombay', 'yeah', 'det', 'sådan', 'det', 'fucking', 'hænger', 'sammen', 'mayn', 'yeah', 'duften', 'klar', 'færdigrullet', 'hjemmefra', 'fuck', 'en', 'fake', 'ven', 'bare', 'vi', 'har', 'vores', 'egen', 'vare', 'vi', 'spiller', 'hverken', 'vores', 'tid', 'eller', 'penge', 'vi', 'skiller', 'os', 'fra', 'mængden', 'når', 'vi', 'kommer', 'ind', 'stiger', 'ud', 'fra', 'en', 'hurtig', 'bil', 'uden', 'om', 'køen', 'vip', 'jackd', 'og', 'spis', 'eller', 'bliv', 'spist', 'hoes', 'weed', 'og', 'alkohol', 'alkohol', 'får', 'fleste', 'til', 'komme', 'falske', 'venner', 'skifter', 'om', 'når', 'tænker', 'sig', 'om', 'ruller', 'tungt', 'render', 'rundt', 'indtil', 'hjulene', 'falder', 'af', 'med', 'det', 'smag', 'og', 'behag', 'forbereder', 'om', 'dagen', 'om', 'natten', 'skal', 'jeg', 'piger', 'prøv', 'lok', 'mig', 'jeg', 'har', 'en', 'dame', 'er', 'det', 'sexchikane', 'slap', 'af', 'lille', 'søde', 'sag', 'men', 'jeg', 'har', 'fokus', 'på', 'det', 'butterbombay', 'ja', 'vi', 'venter', 'spændt', 'på', 'det', 'store', 'kup', 'når', 'vi', 'kommer', 'ind', 'klubben', 'hater', 'siger', 'ups', 'fra', 'la', 'til', 'aarhus', 'v', 'r', 'w', 'fra', 'californien', 'til', 'aarhus', 'v', 'r', 'w', 'ligemeget', 'hvem', 'du', 'er', 'ligemeget', 'hvor', 'du', 'fra', 'hvis', 'du', 'fucker', 'med', 'mig', 'er', 'der', 'lussinger', 'wannabees', 'prøver', 'stjæle', 'min', 'ide', 'heldigvis', 'har', 'vi', 'holdt', 'os', 'til', 'vor', 'stil', 'den', 'måde', 'vi', 'hilser', 'den', 'måde', 'vi', 'taler', 'den', 'måde', 'vi', 'går', 'på', 'soldater', 'livet', 'er', 'en', 'bitch', 'kort', 'som', 'hendes', 'nederdel', 'skriv', 'på', 'min', 'gravsten', 'fida', 'falastin', 'siden', 'jeg', 'var', 'en', 'kanin', 'hustler', 'aarhuscity', 'eeny', 'meeny', 'miny', 'mo', 'har', 'du', 'penge', 'kan', 'du', 'få', 'du', 'leger', 'med', 'store', 'nu', 'løber', 'risikoen', 'du', 'bliver', 'trampet', 'på', 'dit', 'hoved', 'jeg', 'er', 'fra', 'den', 'gamle', 'skole', 'ja', 'der', 'er', 'massere', 'lave', 'som', 'som', 'hvad', 'så', 'battlecat', 'ja', 'vi', 'venter', 'spændt', 'på', 'det', 'store', 'kup', 'når', 'vi', 'kommer', 'ind', 'klubben', 'haters', 'siger', 'ups', 'fra', 'la', 'til', 'aarhus', 'v', 'r', 'w', 'fra', 'californien', 'til', 'aarhus', 'v', 'r', 'w']"
1,"['queen', 'heroin', 'asides', 'gettin', 'words', 'stain', 'permanent', 'like', 'ink', 'epidermis', 'tattoo', 'artists', 'discard', 'thought', 'partnership', 'may', 'fought', 'position', 'status', 'entrepeneurship', 'matter', 'fact', 'madness', 'planned', 'like', 'serial', 'killers', 'banished', 'flows', 'aquatic', 'like', 'fishes', 'surroundings', 'underground', 'pounding', 'like', 'pregnancies', 'expectancy', 'three', 'times', 'three', 'use', 'mental', 'nine', 'climb', 'like', 'gladiator', 'wall', 'call', 'like', 'physicians', 'deliver', 'labor', 'savor', 'flavor', 'like', 'punisher', 'cure', 'parent', 'first', 'picture', 'mixture', 'offspring', 'ring', 'ring', 'alarm', 'cause', 'set', 'strong', 'cases', 'fire', 'wire', 'connections', 'disconnections', 'settin', 'sparks', 'cause', 'wettin', 'microphone', 'checkin', 'disrespectin', 'amateurs', 'plus', 'mentors', 'sore', 'sport', 'meant', 'pretend', 'liked', 'jtreds', 'bit', 'demanding', 'acceptin', 'nothing', 'less', 'best', 'flip', 'shit', 'anyone', 'kid', 'stick', 'landing', 'stand', 'amongst', 'stress', 'trying', 'touch', 'us', 'ca', 'come', 'close', 'like', 'phone', 'sex', 'stay', 'ahead', 'pack', 'fuckin', 'treds', 'know', 'cover', 'spread', 'always', 'bet', 'black', 'give', 'money', 'worth', 'serve', 'somethin', 'delicious', 'rappers', 'makin', 'tummy', 'hurt', 'got', 'upset', 'sick', 'crabs', 'ca', 'kick', 'addicted', 'rhyming', 'stick', 'rehab', 'get', 'em', 'cleaned', 'know', 'show', 'em', 'light', 'bark', 'bite', 'like', 'tree', 'trunk', 'slash', 'burn', 'em', 'indelibles', 'fire', 'suckers', 'finished', 'may', 'flow', 'rest', 'pieces', 'cause', 'dominating', 'busy', 'happy', 'nominated', 'son', 'give', 'acceptance', 'speeches', 'takin', 'crown', 'front', 'doors', 'breaking', 'em', 'bad', 'motherfuckers', 'many', 'said', 'also', 'said', 'time', 'come', 'time', 'take', 'cause', 'could', 'stand', 'wait', 'like', 'jenny', 'craig', 'bigg', 'jus', 'man', 'scripture', 'puzzler', 'bringin', 'pain', 'device', 'disguiser', 'infinite', 'wisdom', 'seeker', 'knowledge', 'life', 'rhyme', 'provider', 'dual', 'dats', 'strip', 'time', 'codes', 'live', 'feed', 'master', 'onetwentyfour', 'bits', 'ninetysix', 'khz', 'trying', 'get', 'dungeon', 'dd', 'thinking', 'indelibles', 'crash', 'burn', 'must', 'lazy', 'obscene', 'fire', 'sequential', 'plasma', 'bursts', 'provides', 'wrecks', 'concert', 'slingin', 'em', 'bottles', 'frozen', 'rooftops', 'projects', 'beware', 'watch', 'falling', 'objects', 'rupturing', 'optical', 'two', 'onehundred', 'watt', 'mono', 'blocks', 'optional', 'try', 'match', 'wits', 'diamondback', 'unstoppable', 'background', 'poseurs', 'fiend', 'limelight', 'exposure', 'rally', 'back', 'touch', 'microphone', 'playtime', 'trying', 'see', 'cf', 'graf', 'crew', 'visualize', 'top', 'bottom', 'stand', 'new', 'york', 'like', 'la', 'gang', 'tag', 'master', 'mathematical', 'empirical', 'principal', 'metallic', 'medicinal', 'mixed', 'herbs', 'science', 'mineral', 'yo', 'crews', 'start', 'walk', 'crack', 'five', 'series', 'hood', 'disengage', 'passive', 'rip', 'open', 'issue', 'casing', 'trying', 'sidestep', 'backwards', 'drama', 'facing', 'brewin', 'aiyyo', 'bullseye', 'pulls', 'leg', 'beggin', 'mercy', 'kingin', 'come', 'swinging', 'kill', 'apply', 'skill', 'shit', 'floor', 'coming', 'ai', 'feelin', 'joint', 'mean', 'jaw', 'numbing', 'chill', 'let', 'stop', 'got', 'ta', 'get', 'joint', 'dislodged', 'retire', 'armies', 'niggas', 'dishonorable', 'discharge', 'get', 'real', 'pulling', 'deep', 'gots', 'play', 'talk', 'respect', 'mines', 'steady', 'missin', 'layups', 'hoes', 'foes', 'start', 'staring', 'wild', 'truculant', 'heart', 'tearing', 'style', 'fuck', 'order', 'demise', 'well', 'stocked', 'shell', 'shocked', 'describin', 'bombs', 'alarms', 'incoming', 'drum', 'vocal', 'localize', 'niggas', 'talkin', 'bout', 'lucci', 'must', 'modeling', 'susan', 'erica', 'kane', 'bitch', 'like', 'reputation', 'losing', 'listen', 'hear', 'voices', 'saying', 'damn', 'sucker', 'paranoid', 'looking', 'like', 'fuzzy', 'zoeller', 'rucker', 'elp', 'hey', 'yo', 'nihilist', 'stylus', 'cuts', 'matter', 'finest', 'prime', 'sequence', 'hides', 'vicious', 'defense', 'assignment', 'cacophonic', 'visuals', 'bond', 'strictly', 'bitch', 'tissue', 'fissure', 'yeah', 'burn', 'worth', 'operation', 'hate', 'let', 'exterminate', 'bandwidths', 'communicate', 'physically', 'bezerk', 'non', 'happers', 'sleep', 'third', 'rails', 'symmetry', 'enlist', 'small', 'pox', 'syphillis', 'stars', 'shit', 'punchlines', 'insidious', 'kid', 'jump', 'buck', 'fifty', 'ever', 'handed', 'metro', 'card', 'fit', 'sum', 'tom', 'thumb', 'concepts', 'thimble', 'simple', 'bitches', 'doctor', 'death', 'lacing', 'barbed', 'wire', 'stitches', 'herd', 'mad', 'cows', 'bust', 'brick', 'walls', 'like', 'jumanji', 'sixtyfive', 'upsetter', 'malicious', 'sickness', 'scatalogics', 'prophets', 'turned', 'skeptics', 'skeptics', 'found', 'jesus', 'rightwingers', 'turned', 'leftist', 'everybody', 'jumped', 'dick', 'independents', 'sorry', 'want', 'anymore', 'get', 'lost', 'kid', 'find', 'exit', 'uh', 'live', 'fuckin', 'suckers', 'woulda', 'witness', 'collapse', 'fame', 'squadron', 'part', 'still', 'fan', 'trying', 'understand', 'master', 'pupils', 'watch', 'dilate', 'turn', 'fuckin', 'grill', 'alabaster', 'indelibles', 'len', 'scratches', 'various', 'excerpts', 'fire', 'burn', 'company', 'flow', 'jtreds', 'jjjjuggaknots', 'company', 'flow', 'jtreds', 'jjjjuggaknots', 'company', 'flow', 'cococompany', 'flow', 'jjjjjjjjtreds', 'jjjjjtreds', 'juggajuggajuggaknots', 'juggajuggajuggaknots', 'companyflow']"
2,"['tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'play', 'play', 'shit', 'tell', 'like', 'like', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'play', 'shit', 'tell', 'turn', 'bass', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'play', 'shit', 'tell', 'like', 'like', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'pick', 'bass', 'turn', 'shi', 'oh', 'dj', 'turn', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'djand', 'turn', 'bass', 'turn', 'bass', 'dj', 'dj', 'djdj', 'dj', 'dj', 'turn', 'bass', 'turn', 'bass', 'turn', 'bass', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'tell', 'dj', 'turn', 'tell', 'dj', 'bring', 'back', 'gon', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'dj', 'dj', 'dj', 'dj', 'pick', 'bass', 'turn', 'shi', 'oh', 'dj', 'turn', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'dj', 'djand', 'turn', 'bass', 'turn', 'bass', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'turn', 'bass', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'dj', 'turn', 'turn', 'bass', 'dj', 'turn', 'dj', 'dj', 'dj', 'dj', 'dj', 'turn', 'bass', 'dj', 'turn', 'dj', 'turn']"
3,"['yowda', 'ai', 'talk', 'money', 'bitch', 'shut', 'every', 'nigga', 'come', 'hunnid', 'grand', 'accessories', 'stunna', 'cal', 'waist', 'case', 'nigga', 'run', 'never', 'put', 'gun', 'heated', 'like', 'summer', 'live', 'moment', 'grind', 'sun', 'babygirl', 'want', 'cut', 'need', 'wonder', 'girl', 'beat', 'like', 'drummer', 'dick', 'need', 'tongue', 'got', 'offa', 'swag', 'ai', 'need', 'fund', 'givin', 'thumb', 'callin', 'plumber', 'friends', 'fuck', 'cause', 'braggin', 'done', 'man', 'ai', 'trippin', 'right', 'focused', 'rap', 'ai', 'talkin', 'beats', 'microphones', 'talkin', 'bout', 'bricks', 'ai', 'buildin', 'homes', 'hook', 'ai', 'talking', 'moneybitchshut', 'ai', 'talking', 'moneybitchshut', 'ai', 'talking', 'moneybitchshut', 'bitchshut', 'upshut', 'upshut', 'upshut', 'ai', 'talking', 'moneybitchshut', 'ai', 'talking', 'moneybitchshut', 'ai', 'talking', 'moneybitchshut', 'bitch', 'shut', 'upshut', 'upshut', 'upshut', 'yg', 'ai', 'talking', 'monybitch', 'shut', 'got', 'choppers', 'poppersberettas', 'fixed', 'session', 'let', 'us', 'oooh', 'ridin', 'heaters', 'niggas', 'got', 'stripes', 'like', 'im', 'ridin', 'zebras', 'hood', 'niggas', 'ai', 'good', 'visa', 'dick', 'good', 'make', 'bitch', 'seizure', 'give', 'lil', 'homie', 'couldnt', 'see', 'doin', 'life', 'pen', 'see', 'wouldnt', 'want', 'cause', 'ill', 'giving', 'pipe', 'bm', 'niggas', 'arent', 'getting', 'paid', 'niggas', 'going', 'church', 'getting', 'saved', 'get', 'breadget', 'bread', 'get', 'bread', 'niggas', 'popping', 'like', 'pillheads', 'hook', 'ai', 'talking', 'moneybitchshut', 'ai', 'talking', 'moneybitchshut', 'ai', 'talking', 'moneybitchshut', 'bitchshut', 'upshut', 'upshut', 'upshut', 'ai', 'talking', 'moneybitchshut', 'ai', 'talking', 'moneybitchshut', 'ai', 'talking', 'moneybitchshut', 'bitch', 'shut', 'upshut', 'upshut', 'upshut', 'roof', 'gone', 'like', 'exbitch', 'broke', 'moved', 'next', 'bitch', 'next', 'bitch', 'came', 'another', 'slut', 'get', 'paidits', 'doubleup', 'niggas', 'know', 'whats', 'mob', 'aint', 'ious', 'cods', 'fuck', 'police', 'broke', 'bitch', 'cant', 'bad', 'dont', 'need', 'bitch', 'see', 'old', 'bitch', 'new', 'thing', 'lace', 'shes', 'calling', 'boo', 'thang', 'get', 'money', 'together', 'thats', 'things', 'got', 'bag', 'know', 'shoes', 'came', 'hermes', 'belt', 'louie', 'feet', 'yowda', 'rap', 'mustard', 'beat', 'ill', 'street', 'industry', 'like', 'dollars', 'bills', 'im', 'g', 'hook', 'ai', 'talking', 'moneybitchshut', 'ai', 'talking', 'moneybitchshut', 'ai', 'talking', 'moneybitchshut', 'bitchshut', 'upshut', 'upshut', 'upshut', 'ai', 'talking', 'moneybitchshut', 'ai', 'talking', 'moneybitchshut', 'ai', 'talking', 'moneybitchshut', 'bitch', 'shut', 'upshut', 'upshut', 'upshut']"
4,['instrumental']
